,index,firing_rate,condition,neuron_id
243,54,14.10970956907846,68.0,data_sdc_20190902_145404_fromSD_N1
244,55,19.4298299818285,68.0,data_sdc_20190902_145404_fromSD_N1
245,56,12.86326310919435,68.0,data_sdc_20190902_145404_fromSD_N1
246,57,16.13055614386587,68.0,data_sdc_20190902_145404_fromSD_N1
247,58,19.877040229318663,68.0,data_sdc_20190902_145404_fromSD_N1
248,59,15.101442155047641,68.0,data_sdc_20190902_145404_fromSD_N1
249,60,20.600028837462837,68.0,data_sdc_20190902_145404_fromSD_N1
250,61,24.28028182337549,68.0,data_sdc_20190902_145404_fromSD_N1
251,62,16.1553123577216,68.0,data_sdc_20190902_145404_fromSD_N1
252,63,21.308207336695514,68.0,data_sdc_20190902_145404_fromSD_N1
253,64,21.974713686464273,68.0,data_sdc_20190902_145404_fromSD_N1
254,65,27.974149327597257,68.0,data_sdc_20190902_145404_fromSD_N1
255,66,16.721570189493637,68.0,data_sdc_20190902_145404_fromSD_N1
256,67,20.870982376141217,68.0,data_sdc_20190902_145404_fromSD_N1
257,68,17.72104145291776,68.0,data_sdc_20190902_145404_fromSD_N1
258,69,20.09088693636725,68.0,data_sdc_20190902_145404_fromSD_N1
259,70,30.939858959024946,68.0,data_sdc_20190902_145404_fromSD_N1
260,71,14.54858103859997,68.0,data_sdc_20190902_145404_fromSD_N1
261,72,15.29109740085416,68.0,data_sdc_20190902_145404_fromSD_N1
262,73,15.046388895086212,68.0,data_sdc_20190902_145404_fromSD_N1
263,74,20.11649724335314,76.0,data_sdc_20190902_145404_fromSD_N1
264,75,20.477920266877895,76.0,data_sdc_20190902_145404_fromSD_N1
265,76,10.366983954353891,76.0,data_sdc_20190902_145404_fromSD_N1
266,77,16.53062585294116,76.0,data_sdc_20190902_145404_fromSD_N1
267,78,20.98231921016712,76.0,data_sdc_20190902_145404_fromSD_N1
268,79,19.226008809540026,76.0,data_sdc_20190902_145404_fromSD_N1
269,80,21.254225093858192,76.0,data_sdc_20190902_145404_fromSD_N1
270,81,28.534526770403147,76.0,data_sdc_20190902_145404_fromSD_N1
271,82,19.621573431340657,76.0,data_sdc_20190902_145404_fromSD_N1
272,83,12.452700362157978,76.0,data_sdc_20190902_145404_fromSD_N1
273,84,24.867853066990744,76.0,data_sdc_20190902_145404_fromSD_N1
274,85,14.314248191702276,76.0,data_sdc_20190902_145404_fromSD_N1
275,86,24.65546823958874,76.0,data_sdc_20190902_145404_fromSD_N1
276,87,24.619567448003767,76.0,data_sdc_20190902_145404_fromSD_N1
277,88,17.27943790992468,76.0,data_sdc_20190902_145404_fromSD_N1
278,89,15.633539542398262,76.0,data_sdc_20190902_145404_fromSD_N1
279,90,31.503815342050004,76.0,data_sdc_20190902_145404_fromSD_N1
280,91,16.6858951922994,76.0,data_sdc_20190902_145404_fromSD_N1
281,92,16.57319245381395,76.0,data_sdc_20190902_145404_fromSD_N1
282,93,22.433299059404934,76.0,data_sdc_20190902_145404_fromSD_N1
283,94,21.47662792168675,76.0,data_sdc_20190902_145404_fromSD_N1
284,95,20.386170586147433,76.0,data_sdc_20190902_145404_fromSD_N1
285,96,19.505365804337522,76.0,data_sdc_20190902_145404_fromSD_N1
286,97,17.378651933679503,76.0,data_sdc_20190902_145404_fromSD_N1
287,98,21.160269704796526,76.0,data_sdc_20190902_145404_fromSD_N1
288,99,16.653295406539055,76.0,data_sdc_20190902_145404_fromSD_N1
289,100,18.707055755869174,76.0,data_sdc_20190902_145404_fromSD_N1
290,101,28.44744408194592,76.0,data_sdc_20190902_145404_fromSD_N1
291,102,20.37194677096055,76.0,data_sdc_20190902_145404_fromSD_N1
292,103,20.54017640335371,76.0,data_sdc_20190902_145404_fromSD_N1
293,104,22.688517532306214,76.0,data_sdc_20190902_145404_fromSD_N1
294,105,22.90556460456185,76.0,data_sdc_20190902_145404_fromSD_N1
295,106,22.98445985311124,76.0,data_sdc_20190902_145404_fromSD_N1
296,107,22.470868519490665,76.0,data_sdc_20190902_145404_fromSD_N1
297,108,16.507914613115283,76.0,data_sdc_20190902_145404_fromSD_N1
298,109,11.91042974838393,76.0,data_sdc_20190902_145404_fromSD_N1
299,110,11.907669589085053,76.0,data_sdc_20190902_145404_fromSD_N1
300,111,15.830483844570912,76.0,data_sdc_20190902_145404_fromSD_N1
301,112,21.519248986667705,76.0,data_sdc_20190902_145404_fromSD_N1
302,113,23.49549756044495,76.0,data_sdc_20190902_145404_fromSD_N1
303,114,26.430967311673665,76.0,data_sdc_20190902_145404_fromSD_N1
304,115,18.87828459461832,76.0,data_sdc_20190902_145404_fromSD_N1
305,116,26.407728737556447,76.0,data_sdc_20190902_145404_fromSD_N1
306,117,19.674293432661287,76.0,data_sdc_20190902_145404_fromSD_N1
307,118,21.816116245561645,76.0,data_sdc_20190902_145404_fromSD_N1
308,119,21.528995927232693,76.0,data_sdc_20190902_145404_fromSD_N1
309,120,14.49372660359319,76.0,data_sdc_20190902_145404_fromSD_N1
310,121,21.77364790417692,76.0,data_sdc_20190902_145404_fromSD_N1
311,122,18.0713621002034,76.0,data_sdc_20190902_145404_fromSD_N1
312,123,26.096804691197473,76.0,data_sdc_20190902_145404_fromSD_N1
313,124,12.104257385146987,76.0,data_sdc_20190902_145404_fromSD_N1
314,125,20.60052622661759,76.0,data_sdc_20190902_145404_fromSD_N1
315,126,27.213578261650003,84.0,data_sdc_20190902_145404_fromSD_N1
316,127,17.121681311434113,84.0,data_sdc_20190902_145404_fromSD_N1
317,128,22.406211583443657,84.0,data_sdc_20190902_145404_fromSD_N1
318,129,19.483757182868672,84.0,data_sdc_20190902_145404_fromSD_N1
319,130,14.170322826936463,84.0,data_sdc_20190902_145404_fromSD_N1
320,131,15.903151074146237,84.0,data_sdc_20190902_145404_fromSD_N1
321,132,20.900638382081418,84.0,data_sdc_20190902_145404_fromSD_N1
322,133,25.54939966823779,84.0,data_sdc_20190902_145404_fromSD_N1
323,134,20.120650803606452,84.0,data_sdc_20190902_145404_fromSD_N1
324,135,20.942815970300632,84.0,data_sdc_20190902_145404_fromSD_N1
325,136,21.03678029983881,84.0,data_sdc_20190902_145404_fromSD_N1
326,137,18.60633620598112,84.0,data_sdc_20190902_145404_fromSD_N1
327,138,17.71467667029048,84.0,data_sdc_20190902_145404_fromSD_N1
328,139,20.320188298206702,84.0,data_sdc_20190902_145404_fromSD_N1
329,140,20.451466070794257,84.0,data_sdc_20190902_145404_fromSD_N1
330,141,20.897581183141934,84.0,data_sdc_20190902_145404_fromSD_N1
331,142,23.736471351295435,84.0,data_sdc_20190902_145404_fromSD_N1
332,143,15.810246294824449,84.0,data_sdc_20190902_145404_fromSD_N1
333,144,11.291619928569197,84.0,data_sdc_20190902_145404_fromSD_N1
334,145,16.740050560884725,84.0,data_sdc_20190902_145404_fromSD_N1
335,146,25.661530618268493,84.0,data_sdc_20190902_145404_fromSD_N1
336,147,21.233871723674742,84.0,data_sdc_20190902_145404_fromSD_N1
337,148,20.307635165339025,84.0,data_sdc_20190902_145404_fromSD_N1
338,149,18.156452306596687,84.0,data_sdc_20190902_145404_fromSD_N1
339,150,11.990076169266668,84.0,data_sdc_20190902_145404_fromSD_N1
340,151,17.090952065605816,84.0,data_sdc_20190902_145404_fromSD_N1
341,152,21.212478126638096,84.0,data_sdc_20190902_145404_fromSD_N1
342,153,14.261257275865256,84.0,data_sdc_20190902_145404_fromSD_N1
343,154,15.840029988126561,84.0,data_sdc_20190902_145404_fromSD_N1
344,155,17.568279415835264,84.0,data_sdc_20190902_145404_fromSD_N1
345,156,31.024402880287468,84.0,data_sdc_20190902_145404_fromSD_N1
346,157,28.12507170107407,84.0,data_sdc_20190902_145404_fromSD_N1
347,158,20.564629824641077,84.0,data_sdc_20190902_145404_fromSD_N1
348,159,16.6751048089762,84.0,data_sdc_20190902_145404_fromSD_N1
349,160,19.998930864172724,84.0,data_sdc_20190902_145404_fromSD_N1
350,161,20.30754903337413,84.0,data_sdc_20190902_145404_fromSD_N1
351,162,17.112966768841844,84.0,data_sdc_20190902_145404_fromSD_N1
352,163,22.227850524354174,84.0,data_sdc_20190902_145404_fromSD_N1
353,164,20.871354057512658,84.0,data_sdc_20190902_145404_fromSD_N1
354,165,17.24212080291513,84.0,data_sdc_20190902_145404_fromSD_N1
355,166,24.97407634635862,84.0,data_sdc_20190902_145404_fromSD_N1
356,167,21.189974605236895,92.0,data_sdc_20190902_145404_fromSD_N1
357,168,18.524120753200666,92.0,data_sdc_20190902_145404_fromSD_N1
358,169,15.309472272159148,92.0,data_sdc_20190902_145404_fromSD_N1
359,170,22.364150421845565,92.0,data_sdc_20190902_145404_fromSD_N1
360,171,15.370642854623012,92.0,data_sdc_20190902_145404_fromSD_N1
361,172,19.04634424357467,92.0,data_sdc_20190902_145404_fromSD_N1
362,173,19.465821893643223,92.0,data_sdc_20190902_145404_fromSD_N1
363,174,26.002684752590422,92.0,data_sdc_20190902_145404_fromSD_N1
364,175,14.54254169567311,92.0,data_sdc_20190902_145404_fromSD_N1
365,176,14.77438628665092,92.0,data_sdc_20190902_145404_fromSD_N1
366,177,8.61224148223332,92.0,data_sdc_20190902_145404_fromSD_N1
367,178,19.880505527643095,92.0,data_sdc_20190902_145404_fromSD_N1
368,179,22.619297564129315,92.0,data_sdc_20190902_145404_fromSD_N1
369,180,16.28661655183139,92.0,data_sdc_20190902_145404_fromSD_N1
370,181,15.971356130522073,92.0,data_sdc_20190902_145404_fromSD_N1
371,182,25.371847933430228,92.0,data_sdc_20190902_145404_fromSD_N1
372,183,22.930275938621868,92.0,data_sdc_20190902_145404_fromSD_N1
373,184,20.303357902859847,92.0,data_sdc_20190902_145404_fromSD_N1
374,185,20.83529997135181,92.0,data_sdc_20190902_145404_fromSD_N1
